time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.581213307240704324e+01,7.861449482735853866e-01,4.483953320183488578e-01,1.005793958706334479e+00,3.770823067982800314e-01,1.851460330406363153e-01,6.209998045077901319e-01
3.590998043052837829e+01,7.890707179317083542e-01,4.566383331672895229e-01,1.005691876603390877e+00,3.799226930843901395e-01,1.879908383124223314e-01,6.281760977151940040e-01
3.600782778864970624e+01,7.919368237089858820e-01,4.648484882107946636e-01,1.005524472052438112e+00,3.828627834951265907e-01,1.909181970527783767e-01,6.352531167854408300e-01
3.610567514677103418e+01,7.947426478486192547e-01,4.729571017467557592e-01,1.005316739618939970e+00,3.859004438571274065e-01,1.939173544793522941e-01,6.421489904101377322e-01
3.620352250489236923e+01,7.974868459634886220e-01,4.808963091368191889e-01,1.005089992150077549e+00,3.890252020173544101e-01,1.969741239455587711e-01,6.487851143049109259e-01
3.630136986301369717e+01,8.001674862534768895e-01,4.818491416647669445e-01,1.004861967209928375e+00,3.922174439357243303e-01,2.000704682059370465e-01,6.550893047618721043e-01
3.639921722113502511e+01,8.027822767905972157e-01,4.823017151368285682e-01,1.004647076920407001e+00,3.954485822477569190e-01,2.031842375495835074e-01,6.609986287538416327e-01
3.649706457925635306e+01,8.053288842761684441e-01,4.831931791408500265e-01,1.004456764097249266e+00,3.986822822929478316e-01,2.062891309207060542e-01,6.664617784913776655e-01
3.659491193737768810e+01,8.078053245453389319e-01,4.845954584133388421e-01,1.004299930537517538e+00,4.018766607348861486e-01,2.093549471731487310e-01,6.714409339408902166e-01
3.669275929549902315e+01,8.102103806621536730e-01,4.865779366189605937e-01,1.004183406948209178e+00,4.049872102124446593e-01,2.123481892565336759e-01,6.759131153126417546e-01
3.679060665362035110e+01,8.125439864902770370e-01,4.892055855864559377e-01,1.004112437780779299e+00,4.079700911732609958e-01,2.149992005817251417e-01,6.798710511276164770e-01
3.688845401174167904e+01,8.148075079655366926e-01,4.925368145463770442e-01,1.004091157918175492e+00,4.107853922732977447e-01,2.151404360594943999e-01,6.833235713097707276e-01
3.698630136986301409e+01,8.170038627904734341e-01,4.966209875178557165e-01,1.004123041677205119e+00,4.133999929070979462e-01,2.152242359565622598e-01,6.862954893466536310e-01
3.708414872798434203e+01,8.191374395422862387e-01,5.014955822064001145e-01,1.004211307925165997e+00,4.157897472202426448e-01,2.153072621190798563e-01,6.888268860955389927e-01
3.718199608610566997e+01,8.212138041619849727e-01,5.071830106636397995e-01,1.004359268237061675e+00,4.179408230420256776e-01,2.154432256479594521e-01,6.909716789314419572e-01
3.727984344422699792e+01,8.232392100780492328e-01,5.136871924927114419e-01,1.004570607866251963e+00,4.198501479171407036e-01,2.156787530854867574e-01,6.927953781899970354e-01
3.737769080234833297e+01,8.252199539694121677e-01,5.209900644642075918e-01,1.004849591764547245e+00,4.215250197690659784e-01,2.160501085374555985e-01,6.943720096067977909e-01
3.747553816046966801e+01,8.271616406027575419e-01,5.290483196348222394e-01,1.005201189885967183e+00,4.229820199962867067e-01,2.165811830582823061e-01,6.957803090543835944e-01
3.757338551859099596e+01,8.290684367143086320e-01,5.377907802129106019e-01,1.005631117555763065e+00,4.242454162852427046e-01,2.172829339249455760e-01,6.970994473288024684e-01
3.767123287671232390e+01,8.309424047728729557e-01,5.471168977102621733e-01,1.006145787970130101e+00,4.253452607513062977e-01,2.181541994717833000e-01,6.984046775959618092e-01
3.776908023483365895e+01,8.327830106684993572e-01,5.562965632727887577e-01,1.006752175325194010e+00,4.263153799711692504e-01,2.191835958233973591e-01,6.997633738128169467e-01
3.786692759295499400e+01,8.345868917601227954e-01,5.583850082058374742e-01,1.007457589294446176e+00,4.271914233614332312e-01,2.203520702754507010e-01,7.012319142303823361e-01
3.796477495107632194e+01,8.363479502019334211e-01,5.604767704013690066e-01,1.008269365368723136e+00,4.280090926512690186e-01,2.216356605814001068e-01,7.028537529650965565e-01
3.806262230919764988e+01,8.380578000705682928e-01,5.626351980007380238e-01,1.009194481711175984e+00,4.288026258730165408e-01,2.230080752524089549e-01,7.046588362907137970e-01
3.816046966731897783e+01,8.397065485914906313e-01,5.649179706045905913e-01,1.010239122156943781e+00,4.296035627044315630e-01,2.244428310459743448e-01,7.066643038348894290e-01
3.825831702544031288e+01,8.412838395464179442e-01,5.673759123267646531e-01,1.011408216703932439e+00,4.304397822959188380e-01,2.259148194125454034e-01,7.088762221285146437e-01
3.835616438356164082e+01,8.427800419992278469e-01,5.700523280502731716e-01,1.012705004271903908e+00,4.313347862375086494e-01,2.274012919862494764e-01,7.112919733882711038e-01
3.845401174168296876e+01,8.441874410662787431e-01,5.729828221753064943e-01,1.014130675461041742e+00,4.323072001841756773e-01,2.288823392445775706e-01,7.139028870419688033e-01
3.855185909980430381e+01,8.455012865592624882e-01,5.761955081564754666e-01,1.015684162154694370e+00,4.333704838865516384e-01,2.303409829683463750e-01,7.166967489698010674e-01
3.864970645792563886e+01,8.467205796547749852e-01,5.797114809566800142e-01,1.017362141930346464e+00,4.345328610357027666e-01,2.317630177866794317e-01,7.196599265463669015e-01
3.874755381604696680e+01,8.478485198147878155e-01,5.835454068207034384e-01,1.019159314302380048e+00,4.357974945589018212e-01,2.331367291964714650e-01,7.227789709803982277e-01
3.884540117416829474e+01,8.488925826287163634e-01,5.877060871681878407e-01,1.021068980174206553e+00,4.371629292442714143e-01,2.344525940756801707e-01,7.260416710769137527e-01
3.894324853228962269e+01,8.498642435738765766e-01,5.921968758492612839e-01,1.023083915807285083e+00,4.386237988008431787e-01,2.357030418287302531e-01,7.294376150998468367e-01
3.904109589041095774e+01,8.507783968897320026e-01,5.970158695826269790e-01,1.025197482480392663e+00,4.401717554418009826e-01,2.368823244870999767e-01,7.329583638032386439e-01
